8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
FORCE USA,F-G1-V2,Force USA G1 All-In-One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,0,0,70,0,0,7,0, $ -   ,38," $ 45,923 ",57.2%,1.2,30-Sep-2026,70,8,PO0033157,0.00,,,
CENTR,RUNR-S,CENTR RUNR-S Treadmill,CARDIO,Treadmills - Motorised Treadmill,A,58.4,46,0,0,46,0,1," $ 1,681 ",26," $ 43,403 ",37.7%,0.8,,,,,0.05,,,
BOWFLEX,BOWFLEX-T9,Bowflex T9 Treadmill,CARDIO,Treadmills - Motorised Treadmill,A,14.7,10,0,2,8,0,0, $ -   ,18," $ 43,167 ",45.3%,0.5,,,,,0.22,,,
VORTEX,V-V1600,Vortex V1600 Spin Bike,COMMERCIAL,Commercial Cardio,Obsolete,0,4,0,4,0,0,0, $ -   ,34," $ 43,048 ",38.7%,1.0,,,,,0.25,,,
STEPR,STEPR-PRO-H,"STEPR PRO + 27"" Touch Screen",CARDIO,Stair Climber,A,0,1,10,1,0,2,0, $ -   ,6," $ 42,188 ",55.0%,0.2,4-Sep-2026,10,2,PO0033200,0.00,,,
FORCE USA,F-MYRACK-SPACESAVER,Force USA Spacesaver Power Rack,STRENGTH,Rigs & Racks - Power Racks,A,0,1,45,1,0,0,1, $ 858 ,61," $ 41,291 ",50.1%,1.8,4-Sep-2026,30,1,PO0033152,2.27,,,
FORCE USA,RCOWP1000,Force USA Rubber Coated Olympic Weight Plate 10kg,STRENGTH,Barbells & Weight Plates - Weight Plates,A,3.8,155,384,50,105,0,12, $ 452 ,918," $ 40,984 ",53.8%,27.8,31-Aug-2026,96,0,PO0033155,0.93,,,
FORCE USA,F-PTPR-V2,Force USA PT Power Rack V2,STRENGTH,Rigs & Racks - Power Racks,A,4.5,12,50,0,12,0,4," $ 1,558 ",88," $ 39,663 ",50.1%,2.7,15-Nov-2026,50,0,PO0033371,0.65,,,
FREEFORM,FF-T10,Freeform T10 Treadmill,CARDIO,Treadmills - Motorised Treadmill,A,35.5,58,0,1,57,0,3," $ 2,382 ",53," $ 39,582 ",55.0%,1.6,,,,,0.26,,,
FORCE USA,F-SFID,Force USA Studio FID Bench,STRENGTH,Benches - Adjustable,A,6.3,26,50,7,19,0,0, $ -   ,99," $ 39,389 ",44.4%,3.0,30-Sep-2026,50,0,PO0033157,0.24,,,
REP,PR-5000-UP-93-MBLK-TWO,"REP Fitness 93"" Black Uprights PR-5000 (2x uprights in a box)",STRENGTH,Rigs & Racks - Attachments,A,2.8,38,70,30,8,0,0, $ -   ,93," $ 39,019 ",47.8%,2.8,15-Oct-2026,70,0,PO0033287,0.34,,,
FORCE USA,F-T20-WOOD,Force USA Rubber Gym Flooring PVC Wood,FLOORING,Rubber Flooring - Home Flooring,A,10.1,415,800,208,207,0,152," $ 9,535 ",675," $ 38,787 ",52.1%,20.5,31-Aug-2026,300,0,PO0033154,0.00,,,
FORCE USA,RHD20,Force USA Rubber Hex Dumbbells - 20kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,A,3.4,93,192,40,53,0,12, $ 740 ,517," $ 38,185 ",47.9%,15.7,30-Sep-2026,48,0,PO0033286,1.18,,,
Impulse,IT9528,Impulse IT9528 - Leg Extension/Leg Curl - 235lb - Full Shroud - Black,,,Non-stocked,3.3,4,0,3,1,0,1," $ 3,877 ",10," $ 37,535 ",52.7%,0.3,,,,,0.58,,,
CENTR,HTURF4,Centr x Hyrox Official Competition Perform Turf - 2 Full Lanes with Logo,FLOORING,Turf,A,0,0,36,0,0,8,0, $ -   ,11," $ 37,054 ",29.8%,0.3,15-Sep-2026,16,6,PO0033369,0.00,,,
FORCE USA,F-COMFID-V3,Force USA Commercial FID Bench,STRENGTH,Benches - Adjustable,A,26.9,88,0,17,71,0,5," $ 1,764 ",87," $ 35,892 ",62.8%,2.6,,,,,0.56,,,
CENTR,HSB20,CENTR X HYROX 20kg Competition Sand Bag + 4 Inserts,FUNCTIONAL,Hyrox,A,0,55,204,55,0,9,8," $ 1,382 ",203," $ 35,216 ",56.7%,6.2,5-Oct-2026,8,0,PO0033370,0.84,,,
FORCE USA,F-UTBP15,Force USA - Ultimate Training Bumper Plates - 15kg - Black,STRENGTH,Barbells & Weight Plates - Bumper Plates,A,0,12,392,12,0,14,4, $ 217 ,526," $ 35,121 ",47.9%,15.9,31-Aug-2026,56,14,PO0033155,5.70,,,
REP,AB-5300-FRAME-MBLK,REP Fitness AB-5300 Blackwing Adjustable Bench,STRENGTH,Benches - Adjustable,A,0,2,14,2,0,1,1, $ 726 ,44," $ 33,368 ",35.3%,1.3,15-Sep-2026,10,2,PO0033156,0.98,,,
