8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
REP,DB-5500-55,"REP Urethane Coated Round Dumbbell, 55 KG, Single",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DB-5500-57,"REP Urethane Coated Round Dumbbell, 57.5 KG, Single",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DB-5500-60,"REP Urethane Coated Round Dumbbell, 60 KG, Single",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DB-6000,QuickDraw Adjustable Dumbbell (Single),,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DB-6000-010,QuickDraw Adjustable Dumbbell - 10lb add-on,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DB-6500,QuickDraw Adjustable Dumbbell - KG (Single),,,Non-stocked,0,0,0,0,0,2,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DB-6500-005,QuickDraw Adjustable Dumbbell - 5KG add-on,,,Non-stocked,0,0,0,0,0,6,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBA-6000-MAT,"MULTIPURPOSE DUMBBELL STORAGE CART, MATTE BLACK",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBA-6000-MBLK,"MULTIPURPOSE DUMBBELL STORAGE CART, METALLIC BLACK",,,Non-stocked,19,21,10,2,19,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,10,0,PO0033156,0.00,,,
REP,DBA-6000-MBLK-PBH,"REP Fitness - Multipurpose Dumbbell Storage Cart, Metallic Black, With 6 Peg Board Hooks",STRENGTH,Storage - Dumbbell Storage,Obsolete,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBA-6000-WHT,"MULTIPURPOSE DUMBBELL STORAGE CART, WHITE",,,Non-stocked,18,18,0,0,18,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBA-7000-01-MAT,"Adjustable Dumbbell Stand, REPxPEPIN, Matte Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBA-7000-02-MAT,"Adjustable Dumbbell Stand, QuickDraw, Matte Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBA-7000-02-MBLK,"Adjustable Dumbbell Stand, QuickDraw, Metallic Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBA-7000-02-WHT,"Adjustable Dumbbell Stand, QuickDraw, White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBA-7000-03,"Adjustable Dummbbell Stand, Leveling Feet Kit",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-3000-550,Rep Rubber Hex Dumbbell Set 5-50 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-3000-5575,Rep Rubber Hex Dumbbell Set 55-75 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-3000-80100,Rep Rubber Hex Dumbbell Set 80-100 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-3500-0222,REP Rubber Hex Dumbbell Set 2.5 - 22.5 KG,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5000-105125,Rep Urethane Coated Dumbbell Set 105-125,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5000-1315,Rep Urethane Coated Dumbbell Set 130-150,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5000-550,Rep Urethane Coated Dumbbell Set 5-50 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5000-5575,Rep Urethane Coated Dumbbell Set 55-75 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5000-80100,Rep Urethane Coated Dumbbell Set 80-100 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5500-0222,REP Urethane Coated Dumbbell Set 2.5 - 22.5 KG,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5500-2535,REP Urethane Coated Dumbbell Set 25 - 35 KG,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5500-3745,REP Urethane Coated Dumbbell Set 37.5 - 45 KG,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5500-4752,REP Urethane Coated Dumbbell Set 47.5 - 52.5 KG,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DBS-5500-5560,REP Urethane Coated Dumbbell Set 55 - 60 KG,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DJ-KB-1000,REP x KLEVA - Genesis Jack,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,DP-1000,Weightlifting Drop Pads (Pair),,,Non-stocked,0,0,1,0,0,0,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,1,0,PO0033293,0.00,,,
REP,EM-1000,Exercise Mat,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,EM-3000,4 Fold Fitness Mat,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FB-3000,Flat Bench - Black,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FB-3000-MBLK,Flat Bench - Metallic Black,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FB-3000-RED,Flat Bench - Red,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FB-5002-FRAME-MAT,FB-5002 Frame - Matte Black,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FB-5002-FRAME-MBLK,FB-5002 Frame - Metallic Black,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FB-5002-FRAME-RAW,FB-5002 Frame - Clear Coat,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FB-5002-FRAME-RED,FB-5002 Frame - Red,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FB-5002-FRAME-WHT,FB-5002 Frame - White,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FT-3500-UPGRADE-STICKER,Arcadia FT-3500 UPGRADE STICKER PACK,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FT-5500,Arcadia Max Functional Trainer - Metallic Black,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FT-5500-UPGRADE-STICKER,Arcadia Max FT-5500 UPGRADE STICKER PACK,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-5010,Cable Attachment - Multi Grip Curl Bar,,,Non-stocked,0,0,0,0,0,1,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-5020,Cable Attachment - Sports Handle,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-5030,Cable Attachment - Tricep Rope,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,FTA-5042,"Cable Attachment - 25"" Straight Bar",,,Non-stocked,0,0,0,0,0,1,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-5050,Cable Attachment - Ankle Cuff,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,FTA-5062,Cable Attachment - 48 Solid Lat Bar,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-5070,Cable Attachment - Open Rowing Attachment,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,FTA-5075,Cable Attachment - Triangle Rowing Attachment,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-5080,Cable Attachment - Tricep Pressdown Bar,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-5090,Urethane D-Handle (Single),,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-5090-S,Knurled Metal D-Handle (Single),,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-KB-1000,REP x KLEVA - Tricep Pushdown Attachment - Colorado Knurl,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,FTA-KB-1500,REP x KLEVA - Tricep Pushdown Attachment - Double Black Diamond Knurl,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-KB-2000,REP x KLEVA - Atlas Close-Grip Cable/Landmine Attachment - Colorado Knurl,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-KB-2050,REP x Kleva Built - Atlas Close-Grip - Angled - Colorado Knurl,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-KB-2500,REP x KLEVA - Atlas Close-Grip Cable/Landmine Attachment - Double Black Diamond Knurl,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-KB-2550,REP x Kleva Built - Atlas Close-Grip - Angled - Double Black Diamond Knurl,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-KB-3000,REP x KLEVA - Atlas Multi-Grip Cable/Landmine Attachment - Colorado Knurl,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-KB-3500,REP x KLEVA - Atlas Multi-Grip Cable/Landmine Attachment - Double Black Diamond Knurl,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,FTA-KB-4000,REP X Kleva Built - ISO Grips Pair - Colorado Knurl,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,FTA-KB-4500,REP X Kleva Built - ISO Grips Pair - Double Black Diamond Knurl,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,GHD-3000-1,GHD Base,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,GHD-3000-2,GHD Pad,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,GHR-1000,REP Fitness Glute Ham Roller,STRENGTH,Single stations,C,0,0,50,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Oct-2026,50,0,PO0033287,0.00,,,
REP,GR-2000-111,"1.11"" Wood Gymnastic Rings (Size: 14')",OTHER,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,JR-1000,Speed Cable Jump Rope,OTHER,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,JR-3000,Competition Speed Rope - Black Handle,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,JR-3050,Competition Speed Rope - Silver Handle,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-04,V3 Kettlebell - KG - 4 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-06,V3 Kettlebell - KG - 6 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-08,V3 Kettlebell - KG - 8 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-10,V3 Kettlebell - KG - 10 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-12,V3 Kettlebell - KG - 12 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-14,V3 Kettlebell - KG - 14 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-16,V3 Kettlebell - KG - 16 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-18,V3 Kettlebell - KG - 18 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-20,V3 Kettlebell - KG - 20 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-22,V3 Kettlebell - KG - 22 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-24,V3 Kettlebell - KG - 24 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-28,V3 Kettlebell - KG - 28 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-32,V3 Kettlebell - KG - 32 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-36,V3 Kettlebell - KG - 36 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-40,V3 Kettlebell - KG - 40 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-44,V3 Kettlebell - KG - 44 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-3002-48,V3 Kettlebell - KG - 48 kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-4000-16,Adjustable Kettlebell - 16KG,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-4000-24,Adjustable Kettlebell - 24KG,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,KB-4100-40,Adjustable Kettlebell - 40LB,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,LM-KB-1000,REP x Kleva Built - Adroit Landmine 3.0 - Free Standing,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,LM-KB-2000,REP x Kleva Built - Adroit Landmine 3.0 - Rack Mounted,,,Non-stocked,0,0,2,0,0,4,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,2,2,PO0033380,0.00,,,
REP,MB-3100-04,Medicine Ball - Color V2 - 4 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3100-06,Medicine Ball - Color V2 - 6 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3100-08,Medicine Ball - Color V2 - 8 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3100-10,Medicine Ball - Color V2 - 10 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3100-12,Medicine Ball - Color V2 - 12 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3100-14,Medicine Ball - Color V2 - 14 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3100-16,Medicine Ball - Color V2 - 16 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3100-20,Medicine Ball - Color V2 - 20 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3100-25,Medicine Ball - Color V2 - 25 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3100-30,Medicine Ball - Color V2 - 30 lb,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-02,REP KG Wall Ball - 2kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-04,REP KG Wall Ball - 4kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-06,REP KG Wall Ball - 6kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-08,REP KG Wall Ball - 8kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-09,REP KG Wall Ball - 9kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-10,REP KG Wall Ball - 10kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-12,REP KG Wall Ball - 12kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-14,REP KG Wall Ball - 14kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-16,REP KG Wall Ball - 16kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MB-3500-18,REP KG Wall Ball - 18kg,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MT-5000-01,Adonis - Standalone Support Base,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,MT-5000-FULL,Adonis Multi-Cable Tower - Complete Assembly,,,Non-stocked,0,0,10,0,0,0,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,10,0,PO0033380,0.00,,,
REP,MT-5000-UPGRADE-STICKER,Adonis Selectorized Upgrade Manual & Stickers,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PB-5100-20,Rep 3-in-1 Soft Plyo Box - In Between 20/18/16,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PB-5100-24,Rep 3-in-1 Soft Plyo Box - Medium 24/20/16,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PB-5100-30,Rep 3-in-1 Soft Plyo Box - Large 30/24/20,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PBH-100,PEG BOARD HOOK -100MM - 3 Pack,,,Non-stocked,33,6,60,2,4,0,4, $ -   ,4, $ -   ,,0.1,15-Sep-2026,20,0,PO0033156,0.00,,,
REP,PR-1100,REP Fitness PR-1100 Power Rack,STRENGTH,Rigs & Racks - Power Racks,Obsolete,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-01-BLU,"Altitude Series Power Rack - Uprights - 90"" - Blue",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-01-MAT,"Altitude Series Power Rack - Uprights - 90"" - Matte Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-01-OLV,"Altitude Series Power Rack - Uprights - 90"" - Olive",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-01-RED,"Altitude Series Power Rack - Uprights - 90"" - Red",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-01-WHT,"Altitude Series Power Rack - Uprights - 90"" - White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-02-BLU,"Altitude Series Power Rack - Uprights - 83"" - Blue",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-02-MAT,"Altitude Series Power Rack - Uprights - 83"" - Matte Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-02-MBLK,"Altitude Series Power Rack - Uprights - 83"" - Metallic Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-02-OLV,"Altitude Series Power Rack - Uprights - 83"" - Olive",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-02-RED,"Altitude Series Power Rack - Uprights - 83"" - Red",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-02-SS,"Altitude Series Power Rack - Uprights - 83"" - Stainless Steel",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-2000-02-WHT,"Altitude Series Power Rack - Uprights - 83"" - White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-4000-PU-125,"REP Fitness 1.25"" Pull-Up Bar PR-4000",STRENGTH,Rigs & Racks - Attachments,Obsolete,13,13,0,0,13,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-4000-PU-200,"REP Fitness 2"" Pull Up Bar PR-4000",STRENGTH,Rigs & Racks - Attachments,Obsolete,11,11,0,0,11,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-4002-CR-41-BLU,"PR-4000 Crossmember - V2 Pair - 41"" - Blue",STRENGTH,Rigs & Racks - Attachments,Obsolete,0,2,0,2,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-4002-UP-80-MBLK-FOUR,"REP Fitness Four 80"" Black Uprights PR-4000",STRENGTH,Rigs & Racks - Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-4102-STG,Stringer for Wall Mount Rack- 4000 and 5000 Series (Not currently compatible with PR-4000 Folding Rack),,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,1,1,PO0033292,0.00,,,
REP,PR-5000-PU-125-ARES,"PR-5000 Ares 2.0 Pull-Up Bar - 1.25""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-PU-125-BARE,PR-5000 1.25 Pullup Bar - 4' - Bare Steel,,,Non-stocked,0,0,0,0,0,1,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-PU-200,"PR-5000 2 Pullup Bar - 4' - 2""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-PU-BRACKET,PR-5000 Pull-Up Bar Brackets - Ares 2.0 - 4-Post,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-108-MAT,"PR-5000 108"" Uprights - Matte",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-108-MBLK,"PR-5000 108"" Uprights - Metallic Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-108-WHT,"PR-5000 108"" Uprights - White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-60-MAT-1,"PR-5000 Upright - 60"" Single - Matte Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-60-MBLK-1,"PR-5000 Upright - 60"" Single - Metallic Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-60-RED-1,"PR-5000 Upright - 60"" Single - Red",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
