8/10/2026,<< Data Refreshed Date,REVEL - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,,,Calendar Week:,33
,,,,,,,,,,,,,,,,,,,,,,
Item Name,Item Description,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD , GP % YTD ,YTD WEEKLY ROS,Order ETA,Next Order Quantity,Allocated Demand,Next PO,,,,
R-H-BC35KW-E,Harvia Vega BC35 Heater - Electronic,Saunas,9,6,53,1,5,0,0, $ -   ,18," $ 8,439 ",46.0%,1,10-Dec-2026,11,0,PO0033350,,,,
R-ICEBATH,Revel Recovery Ice Bath,Ice Baths,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-HAT-DUNE-1,Revel Sauna Hat - Premium 100% Wool Heat Shield - Soft Dune,Saunas,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-TR-1P,Revel Tampere 1 Person Traditional Finnish Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-TR-2P,Revel Tampere 2 Person Traditional Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0,,,,,,,,
R-H-PC70-SHIELD,Harvia Cilindro Protective Shield,Saunas,45,17,0,2,15,0,2, $ 181 ,11," $ 1,227 ",42.4%,0,,,,,,,,
R-XEN-DIG-170-VEGA,Harvia Xenio CX170 Non Wifi Control - Vega Heater,Saunas,107,13,0,0,13,0,1, $ (427),4," $ 1,143 ",-161.4%,0,,,,,,,,
R-CS-3PB,Revel NordicWave 3 Person Infrared & Traditional Hybrid Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,1, $ -   ,,0,,,,,,,,
R-XEN-DIG-170-WALL,Harvia Xenio CX170 Non Wifi Control - Wall Heater,Saunas,2,6,0,4,2,0,2," $ 1,714 ",30," $ 21,086 ",-6.3%,1,,,,,,,,
R-H-BC35KW,Harvia Vega BC35 Heater,Saunas,32,38,14,4,34,0,1, $ 502 ,35," $ 17,695 ",44.9%,1,10-Dec-2026,2,0,PO0033349,,,,
R-H-SW60KW,Harvia Wall SW60 Heater,Saunas,15,41,64,9,32,0,2," $ 1,432 ",69," $ 52,063 ",46.7%,2,20-Aug-2026,1,0,PO0032754,,,,
R-H-SW60KW-E,Harvia Black Wall SW60 Heater - Electronic,Saunas,14,56,78,19,37,0,2," $ 1,736 ",88," $ 70,383 ",48.6%,3,30-Sep-2026,12,0,PO0032997,,,,
R-H-SW45KW-E,Harvia Wall SW45 Heater - Electronic,Saunas,4,24,140,12,12,2,5," $ 3,465 ",99," $ 63,440 ",43.9%,3,01-Nov-2026,16,1,PO0033266,,,,
R-H-SW45KW,Harvia Wall SW45 Heater,Saunas,5,27,114,12,15,0,1, $ 814 ,111," $ 76,774 ",42.0%,3,30-Sep-2026,9,0,PO0033204,,,,
R-XENIO-WIFI-CX170,Harvia Xenio CX170 WIFI Controller (Wall Heater),Saunas,4,68,18,40,28,0,11," $ 10,616 ",245," $ 230,093 ",15.4%,7,01-Aug-2026,8,0,PO0033346,,,,
R-STONE-HARVIA-20K,Harvia Black Vulcanite 20kg Stones,Saunas,3,164,958,100,64,0,33," $ 3,164 ",615," $ 44,228 ",7.0%,19,01-Sep-2026,51,0,PO0033081,,,,
R-CHILL-FILT-CART,Revel Commercial Filter Cartridge,Ice Baths,35,85,15,15,70,0,0, $ -   ,66," $ (1,120)",233.0%,2,10-Jul-2026,15,0,PO0032929,,,,
R-CHILLER-S,Revel Chiller - 0.8HP,Ice Baths,17,1,0,0,1,0,-1," $ (3,181)",2," $ (5,237)",199.0%,0,,,,,,,,
